month,day,hour,weekday,ride_count,weekday_num
4,1,0,Tuesday,138,1
4,1,1,Tuesday,66,1
4,1,2,Tuesday,53,1
4,1,3,Tuesday,93,1
4,1,4,Tuesday,166,1
4,1,5,Tuesday,333,1
4,1,6,Tuesday,722,1
4,1,7,Tuesday,1001,1
4,1,8,Tuesday,780,1
4,1,9,Tuesday,532,1
4,1,10,Tuesday,477,1
4,1,11,Tuesday,547,1
4,1,12,Tuesday,469,1
4,1,13,Tuesday,591,1
4,1,14,Tuesday,736,1
4,1,15,Tuesday,967,1
4,1,16,Tuesday,1152,1
4,1,17,Tuesday,1262,1
4,1,18,Tuesday,1122,1
4,1,19,Tuesday,1018,1
4,1,20,Tuesday,597,1
4,1,21,Tuesday,878,1
4,1,22,Tuesday,529,1
4,1,23,Tuesday,317,1
4,2,0,Wednesday,161,2
4,2,1,Wednesday,82,2
4,2,2,Wednesday,59,2
4,2,3,Wednesday,80,2
4,2,4,Wednesday,196,2
4,2,5,Wednesday,344,2
4,2,6,Wednesday,785,2
4,2,7,Wednesday,1099,2
4,2,8,Wednesday,927,2
4,2,9,Wednesday,656,2
4,2,10,Wednesday,658,2
4,2,11,Wednesday,706,2
4,2,12,Wednesday,632,2
4,2,13,Wednesday,709,2
4,2,14,Wednesday,868,2
4,2,15,Wednesday,1138,2
4,2,16,Wednesday,1313,2
4,2,17,Wednesday,1600,2
4,2,18,Wednesday,1252,2
4,2,19,Wednesday,1086,2
4,2,20,Wednesday,1143,2
4,2,21,Wednesday,994,2
4,2,22,Wednesday,638,2
4,2,23,Wednesday,348,2
4,3,0,Thursday,194,3
4,3,1,Thursday,106,3
4,3,2,Thursday,66,3
4,3,3,Thursday,130,3
4,3,4,Thursday,193,3
4,3,5,Thursday,354,3
4,3,6,Thursday,750,3
4,3,7,Thursday,1022,3
4,3,8,Thursday,864,3
4,3,9,Thursday,591,3
4,3,10,Thursday,558,3
4,3,11,Thursday,549,3
4,3,12,Thursday,619,3
4,3,13,Thursday,766,3
4,3,14,Thursday,934,3
4,3,15,Thursday,1247,3
4,3,16,Thursday,1438,3
4,3,17,Thursday,1640,3
4,3,18,Thursday,1628,3
4,3,19,Thursday,1374,3
4,3,20,Thursday,1591,3
4,3,21,Thursday,1714,3
4,3,22,Thursday,1580,3
4,3,23,Thursday,793,3
4,4,0,Friday,329,4
4,4,1,Friday,184,4
4,4,2,Friday,117,4
4,4,3,Friday,154,4
4,4,4,Friday,238,4
4,4,5,Friday,381,4
4,4,6,Friday,839,4
4,4,7,Friday,1202,4
4,4,8,Friday,1065,4
4,4,9,Friday,769,4
4,4,10,Friday,759,4
4,4,11,Friday,819,4
